Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-100,-100,-13681390.347680788,-13681390.347680788,3.5036517809515935e+28,3
0.001,-100,-90,-13681390.347680788,-5102647.5426145755,1.785722190024768e+28,3
0.001,-100,-80,-13681390.347680788,-1674658.989963672,1.7522191466456856e+28,3
0.001,-100,-70,-13681390.347680788,-464314.09695438604,1.7518282143760428e+28,3
0.001,-100,-60,-13681390.347680788,-101783.62275541798,1.7518258958421792e+28,3
0.001,-100,-50,-13681390.347680788,-15605.789613869973,1.7518258904787623e+28,3
0.001,-100,-40,-13681390.347680788,-1244.5555912439688,1.751825890475797e+28,3
0.001,-100,-30,-13681390.347680788,-2.122499441968749,1.7518258904757967e+28,3
0.001,-100,-20,-13681390.347680788,-4.23263676596875,1.7518258904757967e+28,3
0.001,-100,-10,-13681390.347680788,-7.20792391796875,1.7518258904757967e+28,3
0.001,-100,0,-13681390.347680788,-0.00503999996875,1.7518258904757967e+28,3
0.001,-100,10,-13681390.347680788,7.19984148603125,1.7518258904757967e+28,3
0.001,-100,20,-13681390.347680788,4.223116638031249,1.7518258904757967e+28,3
0.001,-100,30,-13681390.347680788,2.1290151540312507,1.7518258904757967e+28,3
0.001,-100,40,-13681390.347680788,1244.7744643320311,1.751825890475797e+28,3
0.001,-100,50,-13681390.347680788,15606.969953070036,1.7518258904787632e+28,3
0.001,-100,60,-13681390.347680788,101787.74279586606,1.7518258958430482e+28,3
0.001,-100,70,-13681390.347680788,464325.4291968181,1.7518282146029232e+28,3
0.001,-100,80,-13681390.347680788,1674685.641513624,1.7522191716803625e+28,3
0.001,-100,90,-13681390.347680788,5102703.557121582,1.785723678440934e+28,3
0.001,-100,100,-13681390.347680788,13681498.455277592,3.503707151912283e+28,3
0.001,-90,-100,-5102647.5426145755,-13681390.347680788,1.785722190024768e+28,3
0.001,-90,-90,-5102647.5426145755,-5102647.5426145755,6.779259909794227e+26,3
0.001,-90,-80,-5102647.5426145755,-1674658.989963672,3.428955571886002e+26,3
0.001,-90,-70,-5102647.5426145755,-464314.09695438604,3.389862344921707e+26,3
0.001,-90,-60,-5102647.5426145755,-101783.62275541798,3.38963049153536e+26,3
0.001,-90,-50,-5102647.5426145755,-15605.789613869973,3.389629955193674e+26,3
0.001,-90,-40,-5102647.5426145755,-1244.5555912439688,3.389629954897125e+26,3
